Date,JSE,ABSA,CAPITEC,FNB,INVESTEC,NEDBANK,STANDARD,BTC,DOGE,ETH,XMR,XRP
2017-12-28,0.001848606,0.006481635,-0.004406833,-0.00408689,-0.00896867,0.00404185,0.005181359,-0.068306926,-0.072173962,-0.034578372,-0.069441788,0.040491361
2017-12-29,0.009316316,0.02216819,0.024889133,0.019823445,0.01030706,0.012692471,0.011100947,-0.000423739,0.112756677,0.027861588,0.003119145,0.426408282
2018-01-02,0.003798863,-0.025770175,-0.016353992,-0.014528826,0.005335717,0.019412079,-0.007078042,0.024806825,-0.025017763,0.160388216,0.039687637,0.126381541
2018-01-03,-0.001700894,-0.044620924,-0.006678736,-0.046002863,-0.005893162,-0.035550984,-0.048566286,0.02691507,0.022522237,0.092503113,0.058216578,0.220400065
2018-01-04,-0.002567118,-0.000117918,-0.0090345,-0.00221414,0.0047839,0.001269036,0.013524598,0.001549279,0.043369534,-0.002136015,-0.047482729,0
2018-01-05,0.004034438,0.002355714,0.001691396,0.008670347,-0.002444717,0.023423577,0.001118837,0.11056562,0.266604316,0.023934671,-0.03073091,-0.084018856
2018-01-08,0.005363938,0.005631174,-0.004611079,-0.008987053,-0.011751017,-0.01089929,0.010277147,-0.124088705,0.205944703,0.159538704,0.113965809,-0.040656006
2018-01-09,0.001252746,0.030190102,0.002486978,0.003951637,-0.002141208,0.018420298,0.012257238,-0.013288852,-0.163053138,0.128148561,0.019751162,-0.127314834
2018-01-10,-0.002231766,-0.009924224,-0.027925475,-0.006171394,0.00011281,-0.023521349,-0.00584797,0.017739345,-0.020124817,-0.028204263,-0.011312923,-0.059664858
2018-01-11,-0.006248597,-0.014201012,-0.010445432,-0.031605339,0.013000295,-0.019785318,-0.018605188,-0.105604291,-0.137556261,-0.094469187,-0.138814295,-0.026203258
2018-01-12,0.007972695,0.00290276,-0.006286584,0.009943843,0.015358569,0.013075208,0.006964594,0.025623072,0.116063601,0.101813943,0.097831173,0.037841127
2018-01-15,0.002623416,-0.00290276,0.004104,-0.002436055,-0.001646091,0,-0.001325381,-0.013718213,-0.25670626,0.012803463,0.064402937,-0.169196049
2018-01-16,0.006760356,0.034289073,0.006767108,0.025525104,-0.007607115,0.020462476,0.039016652,-0.18693888,-0.392688321,-0.221789827,-0.291531279,-0.354018101
2018-01-17,0.004521861,0.00246886,-0.005220212,0.018219445,0.007716938,0.012110141,0.01594365,-0.015048412,0.149176196,-0.002552023,0.020656325,0.112121091
2018-01-18,-3.15E-05,0.025233743,0.013081864,0.028387023,0.007221828,0.023901295,0.004259057,0.004733114,-0.011881328,-0.022552153,-0.02856279,0.181177221
2018-01-19,-0.000158575,-0.022100347,-0.015226622,-0.024968748,0.01224483,-0.031057098,-0.027885203,0.029337587,0.033560635,0.037283408,0.166252193,-0.022338509
2018-01-22,0.002416926,0.022100347,0.000979912,0.031001948,-0.001616815,0.024673778,0.027435102,-0.063768537,-0.157838822,-0.037012037,-0.140869056,-0.135469545
2018-01-23,0.00677601,0.033265648,0.00147785,0.038786842,0.00902068,0.018770258,0.015338714,0.003528118,-0.006789917,-0.012234362,-0.023229511,-0.008929284
2018-01-24,0.002399704,-0.019750829,0.011174387,0.019198297,0.014118381,0.01099296,-0.009304234,0.049134259,0.066618114,0.078449733,0.037772923,0.0156105
2018-01-25,0.000999774,-0.000431383,0.033569453,0.013530862,-0.003167232,0.023524545,0.03315545,-0.022008984,0.059123746,-0.014208821,-0.009429123,-0.054284384
2018-01-26,-0.001442563,-0.010518423,-0.041697171,-0.016657641,0.002956395,-0.001143511,0.004080169,-0.007607189,-0.043802623,-0.001145475,0.026236242,-0.075366714
2018-01-29,-0.012891393,-0.041567171,-0.083042109,-0.044387061,-0.000105435,-0.044414383,-0.042769998,0.011331389,-0.032176257,0.115339216,-0.03135053,0.046212843
2018-01-30,-0.020950119,-0.01748146,-0.030091204,-0.026386755,-0.006240435,-0.031824665,-0.008485478,-0.100856981,-0.123416853,-0.091835373,-0.129282017,-0.133014498
2018-01-31,-0.000673821,0.040509717,-0.134567578,0.015915455,-0.014319544,0.018579937,0.011730046,0.009730198,-0.021414095,0.042180154,-0.004540592,0.023624545
2018-02-01,-0.004172129,0.018702415,0.053975181,0.007490672,0.014637795,0.003856046,0.01694914,-0.111631994,-0.158433342,-0.07861345,-0.126715299,-0.180339847
2018-02-02,-0.010203184,-0.008262927,0.089667609,-0.008995563,-0.009591889,-0.003893924,-0.004714905,-0.031860083,-0.11568808,-0.115457601,-0.020879329,-0.056212787
2018-02-05,-0.026659308,-0.010606076,-0.066667871,-0.02794715,-0.025048748,-0.031592308,-0.040385178,-0.248201327,-0.252535372,-0.278712627,-0.272134174,-0.277613945
2018-02-06,-0.012979722,-0.022861669,-0.037470805,0.000309693,0.027401942,-0.003171685,-0.006892322,0.104290548,0.22003752,0.11760763,0.147449157,0.111681316
2018-02-07,0.008992178,0.042819997,0.00495851,0.035737096,0.076684016,0.057088689,0.026736156,-0.013925525,-0.045830747,-0.039887917,-0.016823322,-0.059493075
2018-02-08,-0.004417648,-0.001089325,-0.03203702,-0.004191623,0.019014588,-0.001037729,-0.010151859,0.072308107,0.081390049,0.067034805,0.186840361,0.085791631
2018-02-09,-0.013028282,-0.002728515,0.025227748,-0.00060024,-0.034470847,0.019535027,0.005114065,0.063541294,0.093323293,0.086136688,0.040310512,0.162825749
2018-02-12,0.005425965,0.02402599,0.004416926,0.033796473,0.000100487,0,0.023953241,0.023144421,0.098415212,-0.014029723,-0.042854374,0.124760424
2018-02-13,0.017673495,0.009715257,0.011727372,0.015693937,0.004711552,0.008653361,0.01098481,-0.041777131,0.025975486,-0.028402612,-0.05741054,-0.054594837
2018-02-14,0.00332576,0.008522331,-0.038108235,0.011363759,-0.015622955,-0.004987361,0.013996403,0.104126618,0.175301304,0.088971509,0.160504398,0.133847862
2018-02-15,0.036496003,0.074912109,0.020374839,0.062284924,0.032875019,0.052301807,0.050042091,0.057514209,0.073570929,0.008542572,0.075589109,-0.018329451
2018-02-16,-0.006923605,-0.004725607,-0.010975676,-0.022412533,-0.002263446,0.004870696,-0.007576663,0.013989148,-0.049255835,0.010659275,-0.008864794,0.004860933
2018-02-19,-0.007145622,-0.01070264,0.003599138,-0.000271481,0.000984737,0.002563009,-0.004388505,0.092880595,-0.035132419,0.00274822,0.070274801,-0.003688547
2018-02-20,-0.013248913,-0.022966561,-0.003404259,-0.009548565,0.008136103,-0.02593058,-0.009302393,0.006185283,0.063495069,-0.060931159,-0.040529207,-0.076878124
2018-02-21,0.011622246,0.005841491,0.064721186,0.030239885,-0.006955698,0.022169249,0.018519048,-0.070562663,-0.07307598,-0.05270393,0.019934433,-0.075696511
2018-02-22,-0.007723162,-0.008116805,-0.021135021,-0.012040279,-0.000885173,-0.004807702,-0.004597709,-0.062172056,-0.0644583,-0.043153595,-0.113927469,-0.066296846
2018-02-23,0.00958983,0.031539869,0.014009237,0.023543017,0.002260554,0.008569033,0.011955892,0.03285308,0.068511446,0.06385314,0.016488747,0.054999677
2018-02-26,0.002610212,0.003329746,-0.010482676,-0.008316331,-0.000589217,0.003407158,-0.014031778,0.011214705,-0.058772406,0.011998009,0.041083903,-0.013253721
2018-02-27,0.002685416,-0.012593634,-0.01723827,0.002779802,0.013077185,0.014687527,0.021471816,0.029629314,0.005703438,0.005119573,0.032737751,0.000322737
2018-02-28,-0.011966332,-0.017478597,-0.016134187,-0.023404612,-0.00622449,-0.03683576,-0.015670161,-0.024895807,-0.041941631,-0.021985537,-0.05030364,-0.047129717
2018-03-01,-0.006915056,0.008377905,0.022250198,0.001757589,-0.008327259,0.005859832,0.004306402,0.053745795,0.020061017,0.020377709,0.091426062,0.031519644
2018-03-02,-0.003085907,0,-0.012947805,-0.003111685,-0.005920096,0.016288401,-0.008032172,-0.007067883,-0.109801891,-0.016163677,0.091041121,-0.017524006
2018-03-05,0.002900127,0.008407382,0.029573592,0.005405419,0.009945432,0.007455134,0.009859073,0.045399365,-0.053296609,-0.006856848,0.079143968,0.05019752
2018-03-06,0.022713574,0.021272184,0.001662472,0.00938974,0.01940678,0.039064881,0.026032816,-0.059593104,-0.132961321,-0.042477799,-0.079143968,-0.045649284
